pixels	radius	A	B	C
0.5	0.02778	0	1	2
1.5	0.08333	0	1	2
2.5	0.13889	0	1	2
3.5	0.19444	0	1	2
4.5	0.25	0	1	2
5.5	0.30556	0	1	2
6.5	0.36111	0	1	2
7.5	0.41667	0	1	2
8.5	0.47222	0	1	2
9.5	0.52778	0	1.02176	2
10.5	0.58333	0.00435	1.04107	2
11.5	0.63889	0.05693	1.06595	2
12.5	0.69444	0.0878	1.11088	2
13.5	0.75	0.14421	1.18021	2.00205
14.5	0.80556	0.2559	1.30828	2.08109
15.5	0.86111	0.42933	1.58163	2.31061
16.5	0.91667	0.75478	2.07211	2.77811
17.5	0.97222	1.30735	2.7658	3.73146
18.5	1.02778	1.87094	3.45116	4.62168
19.5	1.08333	2.18352	3.66403	4.8988
20.5	1.13889	2.01874	3.22124	4.27723
21.5	1.19444	1.52376	2.62314	3.39166
22.5	1.25	1.19604	2.06162	2.79375
23.5	1.30556	0.92299	1.7237	2.54344
24.5	1.36111	0.77441	1.55863	2.46883
25.5	1.41667	0.74242	1.48657	2.45627
26.5	1.47222	0.685	1.49455	2.5027
27.5	1.52778	0.72071	1.55453	2.58371
28.5	1.58333	0.74828	1.67869	2.71212
29.5	1.63889	0.78375	1.85189	2.88418
30.5	1.69444	0.87039	2.04343	3.08191
31.5	1.75	0.95983	2.21599	3.19281
32.5	1.80556	1.05026	2.34878	3.31115
33.5	1.86111	1.12377	2.37681	3.33031
34.5	1.91667	1.17608	2.35938	3.32727
35.5	1.97222	1.19814	2.30269	3.25909
36.5	2.02778	1.20783	2.23551	3.20025
37.5	2.08333	1.16753	2.17758	3.13843
38.5	2.13889	1.08659	2.11134	3.05067
39.5	2.19444	1.05253	2.03482	2.94928
40.5	2.25	1.00277	1.94405	2.8563
41.5	2.30556	0.95904	1.86228	2.80598
42.5	2.36111	0.92939	1.81224	2.80272
43.5	2.41667	0.91196	1.81126	2.84471
44.5	2.47222	0.90868	1.85997	2.91057
45.5	2.52778	0.93089	1.93638	3.00835
46.5	2.58333	0.97876	2.02478	3.0761
47.5	2.63889	0.99617	2.09877	3.13143
48.5	2.69444	1.0246	2.16568	3.17762
49.5	2.75	1.05573	2.18402	3.15519
50.5	2.80556	1.07634	2.1833	3.14418
51.5	2.86111	1.08245	2.16594	3.10535
52.5	2.91667	1.08425	2.11497	3.07754
53.5	2.97222	1.06421	2.06756	3.03023
54.5	3.02778	1.04443	2.02304	3.00023
55.5	3.08333	1.02765	1.98932	2.9696
56.5	3.13889	1.01405	1.96924	2.9528
57.5	3.19444	0.99905	1.95471	2.94283
58.5	3.25	0.97436	1.9491	2.95139
59.5	3.30556	0.99411	1.95263	2.97478
60.5	3.36111	0.99434	1.96383	2.99759
61.5	3.41667	0.99132	1.98658	3.02276
62.5	3.47222	1.01106	2.01253	3.05136
63.5	3.52778	1.01684	2.03917	3.07266
64.5	3.58333	1.01449	2.07143	3.10054
65.5	3.63889	1.02377	2.0844	3.08326
66.5	3.69444	1.03157	2.0822	3.07912
67.5	3.75	1.04338	2.07736	3.05268
68.5	3.80556	1.04003	2.06134	3.04663
69.5	3.86111	1.03504	2.03654	3.01394
70.5	3.91667	1.02962	2.01763	2.99531
71.5	3.97222	1.03292	1.99696	2.99478
72.5	4.02778	1.01814	1.98315	2.99005
73.5	4.08333	1.01143	1.97702	2.99692
74.5	4.13889	1.00735	1.97396	2.99658
75.5	4.19444	1.00232	1.98208	2.99769
76.5	4.25	0.99515	1.98768	3.02787
77.5	4.30556	1.02283	1.99863	3.02759
78.5	4.36111	1.02214	2.01059	3.04503
79.5	4.41667	1.01941	2.01992	3.04856
80.5	4.47222	1.02167	2.03467	3.04977
81.5	4.52778	1.04003	2.03656	3.0553
82.5	4.58333	1.0086	2.03998	3.04733
83.5	4.63889	1.02392	2.02863	3.02448
84.5	4.69444	1.02651	2.02184	3.02852
85.5	4.75	1.02643	2.01802	3.02137
86.5	4.80556	1.01894	2.00608	3.00345
87.5	4.86111	1.02294	1.99365	2.99989
88.5	4.91667	1.02176	1.99144	3.00642
89.5	4.97222	1.01941	1.98783	3.01548
90.5	5.02778	1.01719	1.98808	3.01696
91.5	5.08333	1.02413	1.98824	3.0248
92.5	5.13889	1.01995	1.9961	3.02223
93.5	5.19444	1.01926	1.99831	3.0287
94.5	5.25	1.0116	2.00092	3.02536
95.5	5.30556	1.02007	2.00828	3.03612
96.5	5.36111	1.01533	2.01711	3.04069
97.5	5.41667	1.02087	2.01641	3.03904
98.5	5.47222	1.01468	2.01596	3.02601
99.5	5.52778	1.02298	2.01129	3.02738
100.5	5.58333	1.02505	2.00653	3.0182
101.5	5.63889	1.02321	2.00302	3.0232
102.5	5.69444	1.02477	1.9986	3.01426
103.5	5.75	1.0177	1.99261	3.00958
104.5	5.80556	1.02437	1.99168	3.01318
105.5	5.86111	1.00968	1.9862	3.01318
106.5	5.91667	1.00854	1.99208	3.02452
107.5	5.97222	1.01412	1.99398	3.02447
108.5	6.02778	1.0251	1.99148	3.03027
109.5	6.08333	1.00524	1.99761	3.02757
110.5	6.13889	1.02524	1.99692	3.02287
111.5	6.19444	1.02254	2.00092	3.02894
112.5	6.25	1.02086	2.00781	3.02387
113.5	6.30556	1.0128	2.00932	3.02762
114.5	6.36111	1.02001	2.00133	3.0277
115.5	6.41667	1.01116	2.00327	3.02473
116.5	6.47222	1.01677	1.99905	3.01578
117.5	6.52778	1.01699	1.99901	3.01513
118.5	6.58333	1.01393	1.99318	3.01211
119.5	6.63889	1.01348	1.99357	3.02686
120.5	6.69444	1.01635	1.98997	3.01134
121.5	6.75	1.00651	1.99048	3.01537
122.5	6.80556	1.01017	1.9859	3.02125
123.5	6.86111	1.01716	1.98705	3.025
124.5	6.91667	1.01074	1.98971	3.02111
125.5	6.97222	1.02181	1.99339	3.03028
126.5	7.02778	1.01242	1.99322	3.03071
127.5	7.08333	1.02138	1.9963	3.02287
128.5	7.13889	1.02072	2.00098	3.02335
129.5	7.19444	1.01484	1.9988	3.01517
130.5	7.25	1.00182	1.99856	3.0244
131.5	7.30556	1.01422	1.99867	3.01635
132.5	7.36111	1.01033	2.00015	3.01757
133.5	7.41667	1.014	1.99554	3.0132
134.5	7.47222	1.00263	1.99526	3.01108
135.5	7.52778	1.01757	1.99332	3.02039
136.5	7.58333	1.01291	1.99194	3.01413
137.5	7.63889	1.01579	1.99337	3.02049
138.5	7.69444	1.01521	1.99119	3.02495
139.5	7.75	1.00533	1.9893	3.02275
140.5	7.80556	1.02078	1.99008	3.02089
141.5	7.86111	1.00603	1.98775	3.0206
142.5	7.91667	1.00946	1.99176	3.02082
143.5	7.97222	1.01585	1.99163	3.01498
144.5	8.02778	1.01512	1.99764	3.01882
145.5	8.08333	1.01164	1.99714	3.02037
146.5	8.13889	1.00834	1.99665	3.01462
147.5	8.19444	1.00816	1.9982	3.01573
148.5	8.25	1.00547	1.9972	3.01102
149.5	8.30556	1.00523	1.99507	3.00707
150.5	8.36112	1.01164	1.99625	3.01348
151.5	8.41668	1.00982	1.99261	3.02005
152.5	8.47224	1.01202	1.99622	3.0146
153.5	8.5278	1.00651	1.99335	3.01821
154.5	8.58336	1.01109	1.99456	3.02217
155.5	8.63892	1.00672	1.9914	3.01579
156.5	8.69448	1.00403	1.99142	3.01147
157.5	8.75004	1.00911	1.99413	3.01237
158.5	8.8056	1.01141	1.99309	3.01457
159.5	8.86116	1.01216	1.99515	3.01582
160.5	8.91672	1.01229	1.99557	3.01385
161.5	8.97228	1.00839	1.99478	3.0089
162.5	9.02784	1.01478	1.99486	3.01105
163.5	9.0834	0.99613	1.99123	3.00684
164.5	9.13896	1.00351	1.99366	3.01314
165.5	9.19452	1.00406	1.995	3.00789
166.5	9.25008	1.00322	1.99618	3.01044
167.5	9.30564	1.00945	1.99481	3.00931
168.5	9.3612	1.00193	1.99549	3.00832
169.5	9.41676	0.99956	1.99249	3.01479
170.5	9.47232	1.00147	1.99477	3.01218
171.5	9.52788	1.0069	1.99371	3.01331
172.5	9.58344	1.00848	1.99101	3.01221
173.5	9.639	1.00908	1.99364	3.01063
174.5	9.69456	1.00674	1.99012	3.00669
175.5	9.75012	0.99875	1.99032	3.00912
176.5	9.80568	1.00425	1.99277	3.00331
177.5	9.86124	1.00408	1.9927	3.00076
178.5	9.9168	1.00489	1.99378	3.00893
179.5	9.97236	0.99647	1.99458	3.00708
180.5	10.02792	1.00196	1.995	3.0049
181.5	10.08348	0.99173	1.99415	3.00536
182.5	10.13904	1.00388	1.99048	3.01146
183.5	10.1946	1.00066	1.99456	3.00368
184.5	10.25016	1.00742	1.99636	3.00712
185.5	10.30572	1.00627	1.99425	3.00844
186.5	10.36128	0.99642	1.99242	3.00437
187.5	10.41684	1.00197	1.99135	3.00937
188.5	10.4724	0.99605	1.99279	2.99939
189.5	10.52796	0.99454	1.99497	3.00491
190.5	10.58352	0.99768	1.99232	2.99906
191.5	10.63908	0.99577	1.99077	3.00712
192.5	10.69464	0.99918	1.99435	2.99643
193.5	10.7502	1.00036	1.99097	2.99903
194.5	10.80576	0.99734	1.99337	2.99987
195.5	10.86132	0.98842	1.99242	3.00828
196.5	10.91688	0.997	1.99463	3.00225
197.5	10.97244	1.00085	1.99769	2.99753
198.5	11.028	1.00061	1.99487	2.99858
